SITE;S.date;SEASON;YEAR;SST.C;numb;LGR.q2;LLRw.q2;dens.TOT.q2;BUSCARV;PROD.q2;LOSS.q2;NET.q2;season.t;source;Year.date;ELEVATION;Prod.S;Loss.S;Net.S
CN1;14/02/2006;WINTER;2006;43.916;6;0.7;0.35;987.5;CN1WINTER2006;0.691;0.346;0.345;89;real;2/7/06;0.4;61.499;30.794;30.705
CN1;10/05/2006;SPRING;2006;60.412;6;2.3;0.9;1262.5;CN1SPRING2006;2.904;1.136;1.768;91;EST;2/7/06;0.4;264.264;103.376;160.888
CN1;12/07/2006;SUMMER;2006;72.76;6;4.25;2.7;1812.5;CN1SUMMER2006;7.703;4.894;2.809;91;real;2/7/06;0.4;700.973;445.354;255.619
CN1;23/10/2006;FALL;2006;57.373;6;0.8;1.4;1125;CN1FALL2006;0.9;1.575;-0.675;90;real;2/7/06;0.4;81;141.75;-60.75
CN1;04/02/2007;WINTER;2007;44.395;6;0.6;0.4;875;CN1WINTER2007;0.525;0.35;0.175;89;real;2/7/07;0.4;46.725;31.15;15.575
CN1;02/05/2007;SPRING;2007;57.63;6;2.3;0.9;950;CN1SPRING2007;2.185;0.855;1.33;91;EST;2/7/07;0.4;198.835;77.805;121.03
CN1;30/06/2007;SUMMER;2007;69.567;6;5.4;3.25;1150;CN1SUMMER2007;6.21;3.738;2.472;91;real;2/7/07;0.4;565.11;340.158;224.952
CN1;14/10/2007;FALL;2007;55.583;6;0.35;2.25;1162.5;CN1FALL2007;0.407;2.616;-2.209;90;real;2/7/07;0.4;36.63;235.44;-198.81
CN1;24/01/2008;WINTER;2008;48.163;6;0.6;1.4;1000;CN1WINTER2008;0.6;1.4;-0.8;90;real;2/7/08;0.4;54;126;-72
CN1;29/04/2008;SPRING;2008;57.199;6;1.65;0.75;1000;CN1SPRING2008;1.65;0.75;0.9;91;real;2/7/08;0.4;150.15;68.25;81.9
CN1;16/07/2008;SUMMER;2008;68.568;5;4.25;2.8;1150;CN1SUMMER2008;4.888;3.22;1.668;91;EST;2/7/08;0.4;444.808;293.02;151.788
CN1;29/10/2008;FALL;2008;50.031;6;4.45;6.3;600;CN1FALL2008;2.67;3.78;-1.11;90;real;2/7/08;0.4;240.3;340.2;-99.9
CN1;10/02/2009;WINTER;2009;43.268;6;1.05;1;850;CN1WINTER2009;0.893;0.85;0.043;89;real;2/7/09;0.4;79.477;75.65;3.827
CN1;09/05/2009;SPRING;2009;58.691;6;3.25;1.15;1262.5;CN1SPRING2009;4.103;1.452;2.651;91;real;2/7/09;0.4;373.373;132.132;241.241
CN1;08/07/2009;SUMMER;2009;70.875;6;5.2;3.3;1550;CN1SUMMER2009;8.06;5.115;2.945;91;real;2/7/09;0.4;733.46;465.465;267.995
CN1;11/11/2009;FALL;2009;56.643;6;0.65;2.65;937.5;CN1FALL2009;0.609;2.484;-1.875;90;real;2/7/09;0.4;54.81;223.56;-168.75
CN1;10/02/2010;WINTER;2010;48.213;6;0.5;0.5;700;CN1WINTER2010;0.35;0.35;0;89;EST;2/7/10;0.4;31.15;31.15;0
CN1;30/04/2010;SPRING;2010;58.65;6;4.3;1;1025;CN1SPRING2010;4.408;1.025;3.383;91;real;2/7/10;0.4;401.128;93.275;307.853
CN1;13/07/2010;SUMMER;2010;74.023;6;4.25;2.8;1862.5;CN1SUMMER2010;7.916;5.215;2.701;91;EST;2/7/10;0.4;720.356;474.565;245.791
CN1;24/10/2010;FALL;2010;54.595;6;0.5;1.1;1075;CN1FALL2010;0.538;1.183;-0.645;90;real;2/7/10;0.4;48.42;106.47;-58.05
CN1;04/02/2011;WINTER;2011;47.553;6;0.5;0.5;1137.5;CN1WINTER2011;0.569;0.569;0;89;EST;2/7/11;0.4;50.641;50.641;0
CN1;26/05/2011;SPRING;2011;61.123;6;2.3;0.9;900;CN1SPRING2011;2.07;0.81;1.26;91;EST;2/7/11;0.4;188.37;73.71;114.66
CN1;01/07/2011;SUMMER;2011;70.903;6;2.5;1.35;2200;CN1SUMMER2011;5.5;2.97;2.53;91;real;2/7/11;0.4;500.5;270.27;230.23
CN1;14/10/2011;FALL;2011;55.175;6;0.6;1.2;1537.5;CN1FALL2011;0.923;1.845;-0.922;90;real;2/7/11;0.4;83.07;166.05;-82.98
CN1;07/02/2012;WINTER;2012;42.771;6;0.3;0.2;1150;CN1WINTER2012;0.345;0.23;0.115;90;real;2/7/12;0.4;31.05;20.7;10.35
CN1;22/05/2012;SPRING;2012;57.003;6;2.1;0.8;1025;CN1SPRING2012;2.153;0.82;1.333;91;real;2/7/12;0.4;195.923;74.62;121.303
CN1;19/07/2012;SUMMER;2012;68.57;6;3.45;2;1250;CN1SUMMER2012;4.313;2.5;1.813;91;real;2/7/12;0.4;392.483;227.5;164.983
CN1;01/11/2012;FALL;2012;55.749;6;1.1;5.5;1012.5;CN1FALL2012;1.114;5.569;-4.455;90;real;2/7/12;0.4;100.26;501.21;-400.95
CN1;12/02/2013;WINTER;2013;44.21;6;0.5;0.9;1050;CN1WINTER2013;0.525;0.945;-0.42;89;real;2/7/13;0.4;46.725;84.105;-37.38
CN1;11/05/2013;SPRING;2013;56.744;6;0.8;1.1;1175;CN1SPRING2013;0.94;1.293;-0.353;91;real;2/7/13;0.4;85.54;117.663;-32.123
CN1;01/08/2013;SUMMER;2013;74.123;6;4.25;2.8;1362.5;CN1SUMMER2013;5.791;3.815;1.976;91;EST;2/7/13;0.4;526.981;347.165;179.816
CN1;12/11/2013;FALL;2013;56.863;6;0.9;2.1;1612.5;CN1FALL2013;1.451;3.386;-1.935;90;EST;2/7/13;0.4;130.59;304.74;-174.15
CN1;15/02/2014;WINTER;2014;44.019;6;0.5;0.5;550;CN1WINTER2014;0.275;0.275;0;89;EST;2/7/14;0.4;24.475;24.475;0
CN1;13/05/2014;SPRING;2014;60.534;6;3.65;1.35;1612.5;CN1SPRING2014;5.886;2.177;3.709;91;real;2/7/14;0.4;535.626;198.107;337.519
CN1;19/08/2014;SUMMER;2014;71.296;6;4.25;2.8;1125;CN1SUMMER2014;4.781;3.15;1.631;91;EST;2/7/14;0.4;435.071;286.65;148.421
CN1;23/10/2014;FALL;2014;57.609;4;0.8;1.75;1050;CN1FALL2014;0.84;1.838;-0.998;90;real;2/7/14;0.4;75.6;165.42;-89.82
CN2;14/02/2006;WINTER;2006;43.916;6;1.4;5.6;775;CN2WINTER2006;1.085;4.34;-3.255;89;real;2/7/06;-0.08;96.565;386.26;-289.695
CN2;10/05/2006;SPRING;2006;60.412;6;5.5;3.9;662.5;CN2SPRING2006;3.644;2.584;1.06;91;real;2/7/06;-0.08;331.604;235.144;96.46
CN2;12/07/2006;SUMMER;2006;72.76;6;7.9;6.2;1237.5;CN2SUMMER2006;9.776;7.673;2.103;91;real;2/7/06;-0.08;889.616;698.243;191.373
CN2;23/10/2006;FALL;2006;57.373;6;3.4;7.8;487.5;CN2FALL2006;1.658;3.803;-2.145;90;real;2/7/06;-0.08;149.22;342.27;-193.05
CN2;04/02/2007;WINTER;2007;44.395;6;2.5;2.15;500;CN2WINTER2007;1.25;1.075;0.175;89;real;2/7/07;-0.08;111.25;95.675;15.575
CN2;02/05/2007;SPRING;2007;57.63;6;6.65;2.35;700;CN2SPRING2007;4.655;1.645;3.01;91;real;2/7/07;-0.08;423.605;149.695;273.91
CN2;30/06/2007;SUMMER;2007;69.567;6;10.4;7.85;787.5;CN2SUMMER2007;8.19;6.182;2.008;91;real;2/7/07;-0.08;745.29;562.562;182.728
CN2;14/10/2007;FALL;2007;55.583;6;5.6;7.4;512.5;CN2FALL2007;2.87;3.793;-0.923;90;real;2/7/07;-0.08;258.3;341.37;-83.07
CN2;24/01/2008;WINTER;2008;48.163;6;2.1;1.65;600;CN2WINTER2008;1.26;0.99;0.27;90;real;2/7/08;-0.08;113.4;89.1;24.3
CN2;29/04/2008;SPRING;2008;57.199;6;3.6;2.2;875;CN2SPRING2008;3.15;1.925;1.225;91;real;2/7/08;-0.08;286.65;175.175;111.475
CN2;16/07/2008;SUMMER;2008;68.568;6;6.6;7.25;862.5;CN2SUMMER2008;5.693;6.253;-0.56;91;real;2/7/08;-0.08;518.063;569.023;-50.96
CN2;29/10/2008;FALL;2008;50.031;6;2.85;7.3;362.5;CN2FALL2008;1.033;2.646;-1.613;90;real;2/7/08;-0.08;92.97;238.14;-145.17
CN2;10/02/2009;WINTER;2009;43.268;6;1.1;1.9;762.5;CN2WINTER2009;0.839;1.449;-0.61;89;real;2/7/09;-0.08;74.671;128.961;-54.29
CN2;09/05/2009;SPRING;2009;58.691;6;3.45;2.7;937.5;CN2SPRING2009;3.234;2.531;0.703;91;real;2/7/09;-0.08;294.294;230.321;63.973
CN2;08/07/2009;SUMMER;2009;70.875;6;10.45;11.15;850;CN2SUMMER2009;8.883;9.478;-0.595;91;real;2/7/09;-0.08;808.353;862.498;-54.145
CN2;11/11/2009;FALL;2009;56.643;6;3.25;4.65;587.5;CN2FALL2009;1.909;2.732;-0.823;90;real;2/7/09;-0.08;171.81;245.88;-74.07
CN2;10/02/2010;WINTER;2010;48.213;6;1.2;2.3;575;CN2WINTER2010;0.69;1.323;-0.633;89;real;2/7/10;-0.08;61.41;117.747;-56.337
CN2;30/04/2010;SPRING;2010;58.65;6;8.4;5.2;375;CN2SPRING2010;3.15;1.95;1.2;91;real;2/7/10;-0.08;286.65;177.45;109.2
CN2;13/07/2010;SUMMER;2010;74.023;6;6.8;6.7;712.5;CN2SUMMER2010;4.845;4.774;0.071;91;EST;2/7/10;-0.08;440.895;434.434;6.461
CN2;24/10/2010;FALL;2010;54.595;6;2.9;7.35;587.5;CN2FALL2010;1.704;4.318;-2.614;90;EST;2/7/10;-0.08;153.36;388.62;-235.26
CN2;04/02/2011;WINTER;2011;47.553;6;2.35;0.7;337.5;CN2WINTER2011;0.793;0.236;0.557;89;real;2/7/11;-0.08;70.577;21.004;49.573
CN2;26/05/2011;SPRING;2011;61.123;6;5.8;2.7;1137.5;CN2SPRING2011;6.598;3.071;3.527;91;EST;2/7/11;-0.08;600.418;279.461;320.957
CN2;01/07/2011;SUMMER;2011;70.903;6;3.7;4.8;1137.5;CN2SUMMER2011;4.209;5.46;-1.251;91;real;2/7/11;-0.08;383.019;496.86;-113.841
CN2;14/10/2011;FALL;2011;55.175;6;2.9;7.35;775;CN2FALL2011;2.248;5.696;-3.448;90;EST;2/7/11;-0.08;202.32;512.64;-310.32
CN2;07/02/2012;WINTER;2012;42.771;6;0.7;1.4;1087.5;CN2WINTER2012;0.761;2.066;-1.305;90;EST;2/7/12;-0.08;68.49;185.94;-117.45
CN2;22/05/2012;SPRING;2012;57.003;6;1.3;0.8;1462.5;CN2SPRING2012;1.901;1.17;0.731;91;real;2/7/12;-0.08;172.991;106.47;66.521
CN2;19/07/2012;SUMMER;2012;68.57;6;7;6.35;562.5;CN2SUMMER2012;3.938;3.572;0.366;91;real;2/7/12;-0.08;358.358;325.052;33.306
