SITE,ELEVATION.m,YEAR,SEASON,t.d,F.date,S.date,t.units,replicate,R.replicate,LGR,LLRw,TurnR,PI,SDW,source,NH4.uM.mean,NO2.uM.mean,NO3.uM.mean,PO4.uM.mean,NH4.uM.q2,NO2.uM.q2,NO3.uM.q2,PO4.uM.q2,Ed.mean,Ez.SITE.mean,T.air.mean,T.min,T.max,Ed.q2,Ez.SITE.q2,T.air.q2
CN1,0.4,2005,SPRING,29,26/05/05,11/05/05,1,26,1,0.9,0.8,0.03,14.5,0.0301,real,NA,NA,NA,NA,NA,NA,NA,NA,59.30266439,20.35229012,19.13560063,12.7071,27.6106,59.99487568,20.27790476,19.15774896
CN1,0.4,2005,SPRING,29,26/05/05,11/05/05,1,29,2,14.4,2.2,0.028,4.1,0.517,real,NA,NA,NA,NA,NA,NA,NA,NA,59.30266439,20.35229012,19.13560063,12.7071,27.6106,59.99487568,20.27790476,19.15774896
CN1,0.4,2005,SPRING,29,26/05/05,11/05/05,1,32,3,9.5,0.9,0.03,7.3,0.32,real,NA,NA,NA,NA,NA,NA,NA,NA,59.30266439,20.35229012,19.13560063,12.7071,27.6106,59.99487568,20.27790476,19.15774896
CN1,0.4,2005,SPRING,29,26/05/05,11/05/05,1,33,4,11.8,1.9,0.033,NA,0.3614,real,NA,NA,NA,NA,NA,NA,NA,NA,59.30266439,20.35229012,19.13560063,12.7071,27.6106,59.99487568,20.27790476,19.15774896
CN1,0.4,2005,SPRING,29,26/05/05,11/05/05,1,36,5,10.3,2.4,0.032,7.3,0.3256,real,NA,NA,NA,NA,NA,NA,NA,NA,59.30266439,20.35229012,19.13560063,12.7071,27.6106,59.99487568,20.27790476,19.15774896
CN1,0.4,2005,SPRING,29,26/05/05,11/05/05,1,38,6,0.2,0.3,0.014,29,0.0139,real,NA,NA,NA,NA,NA,NA,NA,NA,59.30266439,20.35229012,19.13560063,12.7071,27.6106,59.99487568,20.27790476,19.15774896
CN1,0.4,2005,SPRING,29,26/05/05,11/05/05,1,39,7,13.2,0.7,0.031,7.3,0.4285,real,NA,NA,NA,NA,NA,NA,NA,NA,59.30266439,20.35229012,19.13560063,12.7071,27.6106,59.99487568,20.27790476,19.15774896
CN1,0.4,2005,SPRING,29,26/05/05,11/05/05,1,40,8,1,0.9,0.023,7.3,0.0439,real,NA,NA,NA,NA,NA,NA,NA,NA,59.30266439,20.35229012,19.13560063,12.7071,27.6106,59.99487568,20.27790476,19.15774896
CN1,0.4,2005,SUMMER,29,23/08/05,03/08/05,2,2,1,5,6.4,0.016,14.5,0.305,DW.EST,3.215,0.217,3.355,0.211,3.215,0.217,3.355,0.211,54.13021719,19.02376938,24.46339153,19.4385,32.6069,55.67369171,18.88227313,24.7021198
CN1,0.4,2005,SUMMER,29,23/08/05,03/08/05,2,3,2,3.2,5.4,0.022,29,0.143,DW.EST,3.215,0.217,3.355,0.211,3.215,0.217,3.355,0.211,54.13021719,19.02376938,24.46339153,19.4385,32.6069,55.67369171,18.88227313,24.7021198
CN1,0.4,2005,SUMMER,29,23/08/05,03/08/05,2,4,3,1.4,1.5,0.006,NA,0.224,DW.EST,3.215,0.217,3.355,0.211,3.215,0.217,3.355,0.211,54.13021719,19.02376938,24.46339153,19.4385,32.6069,55.67369171,18.88227313,24.7021198
CN1,0.4,2005,SUMMER,29,23/08/05,03/08/05,2,6,4,6,7.4,0.026,9.7,0.229,DW.EST,3.215,0.217,3.355,0.211,3.215,0.217,3.355,0.211,54.13021719,19.02376938,24.46339153,19.4385,32.6069,55.67369171,18.88227313,24.7021198
CN1,0.4,2005,SUMMER,29,23/08/05,03/08/05,2,9,5,3.6,2,0.018,14.5,0.205,DW.EST,3.215,0.217,3.355,0.211,3.215,0.217,3.355,0.211,54.13021719,19.02376938,24.46339153,19.4385,32.6069,55.67369171,18.88227313,24.7021198
CN1,0.4,2005,SUMMER,29,23/08/05,03/08/05,2,11,6,4.2,3.3,0.015,14.5,0.281,DW.EST,3.215,0.217,3.355,0.211,3.215,0.217,3.355,0.211,54.13021719,19.02376938,24.46339153,19.4385,32.6069,55.67369171,18.88227313,24.7021198
CN1,0.4,2005,SUMMER,29,23/08/05,03/08/05,2,14,7,6.2,4.2,0.016,14.5,0.384,DW.EST,3.215,0.217,3.355,0.211,3.215,0.217,3.355,0.211,54.13021719,19.02376938,24.46339153,19.4385,32.6069,55.67369171,18.88227313,24.7021198
CN1,0.4,2005,SUMMER,29,23/08/05,03/08/05,2,15,8,2.9,4.4,0.014,29,0.21,DW.EST,3.215,0.217,3.355,0.211,3.215,0.217,3.355,0.211,54.13021719,19.02376938,24.46339153,19.4385,32.6069,55.67369171,18.88227313,24.7021198
CN1,0.4,2005,FALL,34,05/12/05,18/11/05,3,2,1,0.4,1.2,0.015,34,0.0267,real,2.841,0.5925,2.375,0.4395,2.4115,0.576,1.8225,0.421,22.5963907,7.129562405,14.80700802,6.4576,22.3811,24.600997,6.781799915,14.70676354
CN1,0.4,2005,FALL,34,05/12/05,18/11/05,3,3,2,1.6,1.1,0.018,34,0.0883,real,2.841,0.5925,2.375,0.4395,2.4115,0.576,1.8225,0.421,22.5963907,7.129562405,14.80700802,6.4576,22.3811,24.600997,6.781799915,14.70676354
CN1,0.4,2005,FALL,34,05/12/05,18/11/05,3,6,3,0.9,1.8,0.015,34,0.0612,real,2.841,0.5925,2.375,0.4395,2.4115,0.576,1.8225,0.421,22.5963907,7.129562405,14.80700802,6.4576,22.3811,24.600997,6.781799915,14.70676354
CN1,0.4,2005,FALL,34,05/12/05,18/11/05,3,7,4,1.6,1.1,0.02,34,0.0816,real,2.841,0.5925,2.375,0.4395,2.4115,0.576,1.8225,0.421,22.5963907,7.129562405,14.80700802,6.4576,22.3811,24.600997,6.781799915,14.70676354
CN1,0.4,2005,FALL,34,05/12/05,18/11/05,3,8,5,1.2,2,0.014,17,0.0879,real,2.841,0.5925,2.375,0.4395,2.4115,0.576,1.8225,0.421,22.5963907,7.129562405,14.80700802,6.4576,22.3811,24.600997,6.781799915,14.70676354
CN1,0.4,2005,FALL,34,05/12/05,18/11/05,3,9,6,3.9,1.9,0.02,17,0.1925,real,2.841,0.5925,2.375,0.4395,2.4115,0.576,1.8225,0.421,22.5963907,7.129562405,14.80700802,6.4576,22.3811,24.600997,6.781799915,14.70676354
CN1,0.4,2005,FALL,34,05/12/05,18/11/05,3,10,7,1.9,0.7,0.018,34,0.1071,real,2.841,0.5925,2.375,0.4395,2.4115,0.576,1.8225,0.421,22.5963907,7.129562405,14.80700802,6.4576,22.3811,24.600997,6.781799915,14.70676354
CN1,0.4,2005,FALL,34,05/12/05,18/11/05,3,13,8,2.7,1.3,0.018,34,0.1471,real,2.841,0.5925,2.375,0.4395,2.4115,0.576,1.8225,0.421,22.5963907,7.129562405,14.80700802,6.4576,22.3811,24.600997,6.781799915,14.70676354
CN1,0.4,2005,FALL,34,05/12/05,18/11/05,3,14,9,1.8,1.4,0.01,34,0.1743,real,2.841,0.5925,2.375,0.4395,2.4115,0.576,1.8225,0.421,22.5963907,7.129562405,14.80700802,6.4576,22.3811,24.600997,6.781799915,14.70676354
CN1,0.4,2006,WINTER,30,01/03/06,14/02/06,4,1,1,0.7,0,0.008,30,0.0921,real,NA,NA,NA,NA,NA,NA,NA,NA,28.50521224,10.58959345,11.90191588,5.1314,18.4391,29.59365913,10.6642341,12.17207292
CN1,0.4,2006,WINTER,30,01/03/06,14/02/06,4,2,2,0.7,0.4,0.008,30,0.0924,real,NA,NA,NA,NA,NA,NA,NA,NA,28.50521224,10.58959345,11.90191588,5.1314,18.4391,29.59365913,10.6642341,12.17207292
CN1,0.4,2006,WINTER,30,01/03/06,14/02/06,4,3,3,0.7,NA,0.008,30,0.0859,real,NA,NA,NA,NA,NA,NA,NA,NA,28.50521224,10.58959345,11.90191588,5.1314,18.4391,29.59365913,10.6642341,12.17207292
CN1,0.4,2006,WINTER,30,01/03/06,14/02/06,4,5,4,0.7,0.9,0.015,30,0.0464,real,NA,NA,NA,NA,NA,NA,NA,NA,28.50521224,10.58959345,11.90191588,5.1314,18.4391,29.59365913,10.6642341,12.17207292
CN1,0.4,2006,WINTER,30,01/03/06,14/02/06,4,8,5,0.3,0.1,0.008,30,0.0389,real,NA,NA,NA,NA,NA,NA,NA,NA,28.50521224,10.58959345,11.90191588,5.1314,18.4391,29.59365913,10.6642341,12.17207292
CN1,0.4,2006,WINTER,30,01/03/06,14/02/06,4,11,6,0.4,0.1,0.008,30,0.0472,real,NA,NA,NA,NA,NA,NA,NA,NA,28.50521224,10.58959345,11.90191588,5.1314,18.4391,29.59365913,10.6642341,12.17207292
CN1,0.4,2006,WINTER,30,01/03/06,14/02/06,4,12,7,0.7,1.5,0.015,30,0.0465,real,NA,NA,NA,NA,NA,NA,NA,NA,28.50521224,10.58959345,11.90191588,5.1314,18.4391,29.59365913,10.6642341,12.17207292
CN1,0.4,2006,WINTER,30,01/03/06,14/02/06,4,14,8,2,0.3,0.011,30,0.1785,real,NA,NA,NA,NA,NA,NA,NA,NA,28.50521224,10.58959345,11.90191588,5.1314,18.4391,29.59365913,10.6642341,12.17207292
CN1,0.4,2006,WINTER,30,01/03/06,14/02/06,4,15,9,1,0.5,0.01,30,0.0999,real,NA,NA,NA,NA,NA,NA,NA,NA,28.50521224,10.58959345,11.90191588,5.1314,18.4391,29.59365913,10.6642341,12.17207292
CN1,0.4,2006,SPRING,30,25/05/06,10/05/06,5,5,1,2.6,0.6,0.023,10,0.1123,real,NA,NA,NA,NA,NA,NA,NA,NA,55.2389017,19.08300853,19.4088115,12.9791,26.7192,56.38288509,19.17387423,18.94941771
CN1,0.4,2006,SUMMER,29,27/07/06,12/07/06,6,5,1,5.2,2.2,0.022,7.3,0.2367,real,6.513,0.2175,4.1775,0.395,6.513,0.2175,4.1775,0.395,58.64867487,20.39027821,24.73456934,18.4347,35.424,61.03754805,20.44650953,25.75518334
CN1,0.4,2006,SUMMER,29,27/07/06,12/07/06,6,8,2,4.9,2.8,0.018,14.5,0.2653,real,6.513,0.2175,4.1775,0.395,6.513,0.2175,4.1775,0.395,58.64867487,20.39027821,24.73456934,18.4347,35.424,61.03754805,20.44650953,25.75518334
CN1,0.4,2006,SUMMER,29,27/07/06,12/07/06,6,10,3,2.9,3.3,0.022,9.7,0.1289,real,6.513,0.2175,4.1775,0.395,6.513,0.2175,4.1775,0.395,58.64867487,20.39027821,24.73456934,18.4347,35.424,61.03754805,20.44650953,25.75518334
CN1,0.4,2006,SUMMER,29,27/07/06,12/07/06,6,15,4,3.6,2.6,0.029,9.7,0.1224,real,6.513,0.2175,4.1775,0.395,6.513,0.2175,4.1775,0.395,58.64867487,20.39027821,24.73456934,18.4347,35.424,61.03754805,20.44650953,25.75518334
CN1,0.4,2006,FALL,26,06/11/06,23/10/06,7,3,1,1.1,1.4,0.015,26,0.0724,real,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.5604937,7.636257058,20.47664928,16.5537,25.4402,22.59315354,6.005762354,20.59176458
