SITE;ELEVATION.m;YEAR;SEASON;SST.C;S.date;t.units;R.replicate;LGR;LLRw;TurnR;PI;SDW;NH4.uM.mean;NO2.uM.mean;NO3.uM.mean;PO4.uM.mean;Plant.num;t.d.;L.gross.cm;n;DW_LL
CN1;0.4;2006;WINTER;43.916;14/02/2006;4;9;1;0.5;0.01;30;0.0999;NA;NA;NA;NA;15;30;14.2;2;0.002181223
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;9;0.3;0.1;0.01;30;0.0297;0.166;0.109;0.105;0.026;9;30;4.1;2;0.001477612
CN1;0.4;2012;SUMMER;68.57;19/07/2012;27;9;11;5.3;0.052;5.5;0.2118;1.336;0.109;2.419;0.026;11;11;59.9;3;0.001646967
CN1;0.4;2012;FALL;55.749;01/11/2012;28;9;1.5;5.7;0.017;29;0.0862;0.873;0.444;8.202;0.06;13;29;19.3;2;0.002112745
CN2;-0.08;2007;SPRING;57.63;02/05/2007;8;9;5.3;1.5;0.017;28;0.3181;0.734;0.283;0.516;0.227;29;28;73.6;3;0.0020589
CN2;-0.08;2008;WINTER;48.163;24/01/2008;11;9;1.9;0.6;0.008;NA;0.2385;0.166;0.229;0.5;0.026;29;29;18.9;1;0.002667785
CN2;-0.08;2008;SPRING;57.199;29/04/2008;12;9;3.6;1.2;0.019;28;0.1928;1.136;1.022;0.46;0.411;25;28;61.6;3;0.001329655
CN2;-0.08;2012;FALL;55.749;01/11/2012;27;9;0.6;11;0.002;NA;0.2987;0.873;0.444;8.202;0.06;25;29;9;1;0.002928431
CN1;0.4;2006;WINTER;43.916;14/02/2006;4;8;2;0.3;0.011;30;0.1785;NA;NA;NA;NA;14;30;17.5;3;0.002583213
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;8;0.4;0.1;0.008;30;0.0485;0.166;0.109;0.105;0.026;8;30;7.1;2;0.00165529
CN1;0.4;2012;SUMMER;68.57;19/07/2012;27;8;4.2;NA;0.028;11;0.1522;1.336;0.109;2.419;0.026;9;11;35.6;2;0.001256813
