R.date,R.date.Nut,SITE,ELEVATION,REPLICATE,R.replicate,SEASON,YEAR,S.date,t.units,BUSCAR,L.FW,L.DW,Ri.FW,Ri.DW,Ro.FW,Ro.DW,BG.FW,BG.DW,T.DW,AG.BG.FW,AG.BG.DW,dens.TOT,SDW,%N.L.DW,d15N.L.DW,%C.L.DW,d13C.L.DW,Bus.Nut,NH4.uM.mean,NO2.uM.mean,NO3.uM.mean,PO4.uM.mean,NH4.uM.q2,NO2.uM.q2,NO3.uM.q2,PO4.uM.q2,Tair.degC.q2,T.d.min.q2,T.d.max.q2,Ed.mol_m2d.q2,siteB,EzSITE.mol_m2d.q2
27/04/2005,NA,CN1,0.4,A,1,SPRING,2005,11/05/2005,1,38469-CN1-A,625,137.5,1527.5,615,535,115,2062.5,730,867.5,303,188,1400,446,1.3,4.9,16.6,-8.3,SPRING2005,NA,NA,NA,NA,NA,NA,NA,NA,16.57808646,13.6172,20.3321,56.14663164,37021-CN1,19.48782269
27/04/2005,NA,CN1,0.4,B,2,SPRING,2005,11/05/2005,1,38469-CN1-B,422.5,95,1987.715804,402.5,177.5,87.5,2165.215804,490,585,195,194,1075,393,1.8,3,22.2,-8.1,SPRING2005,NA,NA,NA,NA,NA,NA,NA,NA,16.57808646,13.6172,20.3321,56.14663164,37021-CN1,19.48782269
13/07/2005,NA,CN1,0.4,A,1,SUMMER,2005,03/08/2005,2,38546-CN1-A,1181.2,200.95,2030125,426375,344.75,48.75,2374875,475125,676075,497,423,1225,964,NA,NA,NA,NA,SUMMER2005,3215,217,3355,211,3215,217,3355,211,24.85804271,21.2979,28.7598,61.36639343,37105-CN1,20.62301081
13/07/2005,NA,CN1,0.4,B,2,SUMMER,2005,03/08/2005,2,38546-CN1-B,1423.25,189.75,770,155.25,160.25,24,930.25,179.25,369,1.53,1059,950,1498,NA,NA,NA,NA,SUMMER2005,3215,217,3355,211,3215,217,3355,211,24.85804271,21.2979,28.7598,61.36639343,37105-CN1,20.62301081
14/07/2005,NA,CN1,0.4,A,3,SUMMER,2005,03/08/2005,2,38547-CN1-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,NA,NA,NA,NA,NA,SUMMER2005,3215,217,3355,211,3215,217,3355,211,24.85804271,21.2979,28.7598,61.36639343,37105-CN1,20.62301081
14/07/2005,NA,CN1,0.4,B,4,SUMMER,2005,03/08/2005,2,38547-CN1-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,SUMMER2005,3215,217,3355,211,3215,217,3355,211,24.85804271,21.2979,28.7598,61.36639343,37105-CN1,20.62301081
25/07/2005,25/07/2005,CN1,0.4,A,5,SUMMER,2005,03/08/2005,2,38558-CN1-A,1406,243.5,1425,358,822.75,160.5,2247.75,518.5,762,626,0.47,900,1562,2.3,3.9,33.8,-8.1,SUMMER2005,3215,217,3355,211,3215,217,3355,211,24.85804271,21.2979,28.7598,61.36639343,37105-CN1,20.62301081
25/07/2005,25/07/2005,CN1,0.4,B,6,SUMMER,2005,03/08/2005,2,38558-CN1-B,873.75,147.75,1092.25,259.25,566,108.25,1658.25,367.5,515.25,527,402,950,0.92,2.3,4,34,-8.5,SUMMER2005,3215,217,3355,211,3215,217,3355,211,24.85804271,21.2979,28.7598,61.36639343,37105-CN1,20.62301081
01/11/2005,01/11/2005,CN1,0.4,A,1,FALL,2005,18/11/2005,3,38657-CN1-A,457.0075,82.1175,282.3125,71.04,224.3425,46.0425,506655,117.0825,199.2,902,701,1200,381,NA,NA,NA,NA,FALL2005,2841,0.5925,2375,0.4395,2.4115,576,1.8225,421,18.56338542,15.6975,21.3301,29.63179636,37212-CN1,8.951743678
01/11/2005,01/11/2005,CN1,0.4,B,2,FALL,2005,18/11/2005,3,38657-CN1-B,356.2125,52.03,212.2475,54.1625,311.0375,44645,523285,98.8075,150.8375,681,527,550,648,2.2,4.7,31.7,-10,FALL2005,2841,0.5925,2375,0.4395,2.4115,576,1.8225,421,18.56338542,15.6975,21.3301,29.63179636,37212-CN1,8.951743678
17/11/2005,17/11/2005,CN1,0.4,A,3,FALL,2005,18/11/2005,3,38673-CN1-A,534375,89475,644.37,150.5375,435.7875,67.9475,1080.1575,218485,307.96,495,0.41,2050,261,2.517255,3.516309,35.7246404,-8.1792515,FALL2005,2841,0.5925,2375,0.4395,2.4115,576,1.8225,421,18.56338542,15.6975,21.3301,29.63179636,37212-CN1,8.951743678
17/11/2005,17/11/2005,CN1,0.4,B,4,FALL,2005,18/11/2005,3,38673-CN1-B,591225,105.9725,704005,181.4975,441075,76775,1145.08,258.2725,364245,516,0.41,1475,401,2.3,3.9,36.1,-10.7,FALL2005,2841,0.5925,2375,0.4395,2.4115,576,1.8225,421,18.56338542,15.6975,21.3301,29.63179636,37212-CN1,8.951743678
05/12/2005,NA,CN1,0.4,A,5,FALL,2005,18/11/2005,3,38691-CN1-A,312,60.37,653.1125,153.47,265.2175,38625,918.33,192095,252465,0.34,314,1525,205,NA,NA,NA,NA,FALL2005,2841,0.5925,2375,0.4395,2.4115,576,1.8225,421,18.56338542,15.6975,21.3301,29.63179636,37212-CN1,8.951743678
05/12/2005,NA,CN1,0.4,B,6,FALL,2005,18/11/2005,3,38691-CN1-B,269725,37.4825,371645,86.5525,207.85,31.2825,579495,117835,155.3175,465,318,1125,0.24,2.71,4.5,32.66,-9.3,FALL2005,2841,0.5925,2375,0.4395,2.4115,576,1.8225,421,18.56338542,15.6975,21.3301,29.63179636,37212-CN1,8.951743678
30/01/2006,30/01/2006,CN1,0.4,A,1,WINTER,2006,14/02/2006,4,38747-CN1-A,202655,34.9925,1143.38,244275,577355,89.4275,1720735,333.7025,368695,118,105,775,261,NA,NA,NA,NA,WINTER2006,NA,NA,NA,NA,NA,NA,NA,NA,12.10996667,9.5738,15.0247,24.5681977,37300-CN1,8.795964784
30/01/2006,30/01/2006,CN1,0.4,B,2,WINTER,2006,14/02/2006,4,38747-CN1-B,308.9075,55.8725,1389375,329.21,445.26,71.8525,1834635,401.0625,456935,168,139,950,325,NA,NA,NA,NA,WINTER2006,NA,NA,NA,NA,NA,NA,NA,NA,12.10996667,9.5738,15.0247,24.5681977,37300-CN1,8.795964784
14/02/2006,NA,CN1,0.4,A,3,WINTER,2006,14/02/2006,4,38762-CN1-A,256.15,42.9,1022.05,240925,357.1,54775,1379.15,295.7,338.6,186,145,1025,0.25,2.6,2.7,38.4,-11.4,WINTER2006,NA,NA,NA,NA,NA,NA,NA,NA,12.10996667,9.5738,15.0247,24.5681977,37300-CN1,8.795964784
14/02/2006,NA,CN1,0.4,B,4,WINTER,2006,14/02/2006,4,38762-CN1-B,297.0125,44.64,1565.8275,357.1025,451625,46.9575,2017.4525,404.06,448.7,147,0.11,1425,208,NA,NA,NA,NA,WINTER2006,NA,NA,NA,NA,NA,NA,NA,NA,12.10996667,9.5738,15.0247,24.5681977,37300-CN1,8.795964784
01/03/2006,01/03/2006,CN1,0.4,A,5,WINTER,2006,14/02/2006,4,38777-CN1-A,281.1975,60.3425,1062.8975,258.4325,148.99,29.8025,1211.8875,288235,348.5775,232,209,1375,205,2.77,6.3,33.86,-10,WINTER2006,NA,NA,NA,NA,NA,NA,NA,NA,12.10996667,9.5738,15.0247,24.5681977,37300-CN1,8.795964784
01/03/2006,01/03/2006,CN1,0.4,B,6,WINTER,2006,14/02/2006,4,38777-CN1-B,157.0175,30.74,757.7075,189.3125,251.6025,46.2875,1009.31,235.6,266.34,156,0.13,950,165,NA,NA,NA,NA,WINTER2006,NA,NA,NA,NA,NA,NA,NA,NA,12.10996667,9.5738,15.0247,24.5681977,37300-CN1,8.795964784
25/04/2006,NA,CN1,0.4,A,1,SPRING,2006,10/05/2006,5,38832-CN1-A,838915,132425,1348.7375,291.9875,639.42,95.9625,1988.1575,387.95,520375,422,341,2000,419,NA,NA,NA,NA,SPRING2006,NA,NA,NA,NA,NA,NA,NA,NA,16.74149167,13.9125,19.6002,52.53626016,37385-CN1,17.56239642
25/04/2006,NA,CN1,0.4,B,2,SPRING,2006,10/05/2006,5,38832-CN1-B,354.25,55.5,261.5,44.5,207.75,28.5,469.25,73,128.5,755,0.76,825,429,1.7,4.8,25.2,-10,SPRING2006,NA,NA,NA,NA,NA,NA,NA,NA,16.74149167,13.9125,19.6002,52.53626016,37385-CN1,17.56239642
12/05/2006,NA,CN1,0.4,A,3,SPRING,2006,10/05/2006,5,38849-CN1-A,405,67.5,167.5,30,80,12.5,247.5,42.5,110,1636,1588,1200,338,2.5,2.8,33,-8,SPRING2006,NA,NA,NA,NA,NA,NA,NA,NA,16.74149167,13.9125,19.6002,52.53626016,37385-CN1,17.56239642
